,0
1364,3381240150
1365,3381094377
1366,3381013225
1367,3380926765
1368,3380822279
1369,3380796345
1370,3380738291
1371,3380704015
1372,3380195731
1373,3380241587
1374,3380144066
1375,3380170281
1376,3380064701
1377,3380025673
1378,3379965825
1379,3379884278
1380,3379804519
1381,3379486166
1382,3379215969
1383,3379230157
1384,3379048136
1385,3378947759
1386,3378861126
1387,3378632565
1388,3378536887
1389,3378512326
1390,3378484071
1391,3378295059
1392,3378242837
1393,3378005651
1394,3377914631
1395,3377807398
1396,3377793814
1397,3377685996
1398,3377547435
1399,3376550727
1400,3376472514
1401,3376353612
1402,3376321007
1403,3376254069
1404,3373508191
1405,3373512559
1406,3373140373
1407,3372304194
1408,3372054386
1409,3371462210
1410,3370919504
1411,3370911291
1412,3370843880
1413,3369141719
1414,3368992387
1415,3368970123
1416,3368608225
1417,3367526382
1418,3367540643
1419,3367447955
1420,3367361970
1421,3367263268
1422,3366095099
1423,3366037663
1424,3365959669
1425,3365886703
1426,3364124365
1427,3363991599
1428,3363901456
1429,3363550825
1430,3363485685
1431,3363302868
1432,3363225367
1433,3363231098
1434,3363165958
1435,3363134584
1436,3363131446
1437,3379977157
1438,3372249477
1439,3372213155
1440,3372136004
1441,3370973447
1442,3369326190
1443,3369324148
1444,3369322148
1445,3369280429
1446,3368805371
1447,3367332040
1448,3362420608
1449,3360824123
1450,3360733601
1451,3360664282
1452,3359650026
1453,3359493166
1454,3356039972
1455,3356027089
1456,3355966192
1457,3355983491
1458,3355613467
1459,3355544890
1460,3355478022
1461,3355470250
1462,3353889403
1463,3350906341
1464,3350785481
1465,3348970361
1466,3348800821
1467,3346892356
1468,3345249589
1469,3345217438
1470,3345242493
1471,3345037069
1472,3344131132
1473,3344111935
1474,3341203828
1475,3340810029
1476,3340733062
1477,3340053015
1478,3339973027
1479,3339889242
1480,3338237239
1481,3338205464
1482,3337590604
1483,3336338339
1484,3336300003
1485,3336247042
1486,3334689916
1487,3334675053
1488,3334632315
1489,3334558759
1490,3334575000
1491,3334540957
1492,3334524524
1493,3334520892
1494,3334408184
1495,3334433002
1496,3333470002
1497,3332649919
1498,3332601509
1499,3330582566
1500,3330489595
1501,3329138265
1502,3329165900
1503,3328493159
1504,3328454924
1505,3328378678
1506,3327183585
1507,3327146162
1508,3326511650
1509,3326428613
1510,3326452794
1511,3326358866
1512,3326384177
1513,3326327609
1514,3325962691
1515,3325815571
1516,3325439225
1517,3324519443
1518,3324059505
1519,3324075995
1520,3324072334
1521,3324031202
1522,3324012877
1523,3323947077
1524,3323706667
1525,3323659513
1526,3377319440
1527,3377376302
1528,3377370773
1529,3375871127
1530,3375788573
1531,3375774688
1532,3375728805
1533,3375714158
1534,3375720177
1535,3375639635
1536,3375254286
1537,3374583585
1538,3374534301
1539,3374477543
1540,3372479390
1541,3372446667
1542,3372424154
1543,3372420793
1544,3372345022
1545,3372279455
1546,3372293434
1547,3372190050
1548,3372101852
1549,3371887509
1550,3371797411
1551,3369148883
1552,3368924410
1553,3368857010
1554,3368354730
1555,3367585288
1556,3367582824
1557,3367569303
1558,3367551175
1559,3367479993
1560,3367431585
1561,3367271504
1562,3367194220
1563,3365047413
1564,3364999971
1565,3364973316
1566,3364959860
1567,3364894554
1568,3364899780
1569,3364832595
1570,3364777275
1571,3364715452
1572,3364739891
1573,3364646489
1574,3364653827
1575,3364640076
1576,3364587444
1577,3364573947
1578,3364557410
1579,3364545550
1580,3364521876
1581,3364476218
1582,3364396236
1583,3364328065
1584,3364290727
1585,3364223947
1586,3363073800
1587,3363051487
1588,3362909190
1589,3362893266
1590,3362836946
1591,3362819576
1592,3362763155
1593,3362658539
1594,3362582160
1595,3362306550
1596,3362195825
1597,3362130697
1598,3359081527
1599,3358846742
1600,3358920253
1601,3358588508
1602,3358562799
1603,3358487290
1604,3358520783
1605,3358459817
1606,3358404130
1607,3358305781
1608,3358219195
1609,3380801932
1610,3379450904
1611,3379088492
1612,3378943774
1613,3375703055
1614,3373898180
1615,3372035123
1616,3371861197
1617,3367417597
1618,3367117428
1619,3363089242
1620,3361222149
1621,3361111073
1622,3360998850
1623,3360886985
1624,3360776925
1625,3360574883
1626,3360467033
1627,3359748357
1628,3359765943
1629,3359803087
1630,3359696726
1631,3359732961
1632,3359720839
1633,3352407821
1634,3352444772
1635,3352451785
1636,3349606746
1637,3339928894
1638,3339182193
1639,3339152224
1640,3339024785
1641,3335945707
1642,3335677478
1643,3333267332
1644,3330714931
1645,3330624393
1646,3330585439
1647,3330526027
1648,3330467725
1649,3330368431
1650,3327393555
1651,3327297995
1652,3327278911
1653,3327123885
1654,3327017939
1655,3327061231
1656,3326480985
1657,3326455963
1658,3326430954
1659,3326392494
